,stopword
528,이유는
529,그러니
530,그러니까
531,때문에
532,그
533,너희
534,그들
535,너희들
536,타인
537,것
538,것들
539,너
540,위하여
541,공동으로
542,동시에
543,하기
544,위하여
545,어찌하여
546,무엇때문에
547,붕붕
548,윙윙
549,나
550,우리
551,엉엉
552,휘익
553,윙윙
554,오호
555,아하
556,어쨋든
557,만
558,못하다
559,하기보다는
560,차라리
561,하는
562,편이
563,낫다
564,흐흐
565,놀라다
566,상대적으로
567,말하자면
568,마치
569,아니라면
570,쉿
571,그렇지
572,않으면
573,그렇지
574,않다면
575,안
576,그러면
577,아니었다면
578,하든지
579,아니면
580,이라면
581,좋아
582,알았어
583,하는것도
584,그만이다
585,어쩔수
586,없다
587,하나
588,일
589,일반적으로
590,일단
591,한켠으로는
592,오자마자
593,이렇게되면
594,이와같다면
595,전부
596,한마디
597,한항목
598,근거로
599,하기에
600,아울러
601,하지
602,않도록
603,않기
604,위해서
605,이르기까지
606,이
607,되다
608,로
609,인하여
610,까닭으로
611,이유만으로
612,이로
613,인하여
614,그래서
615,이
616,때문에
617,그러므로
618,그런
619,까닭에
620,알
621,수
622,있다
623,결론을
624,낼
625,수
626,있다
627,으로
628,인하여
629,있다
630,어떤것
631,관계가
632,있다
633,관련이
634,있다
635,연관되다
636,어떤것들
637,에
638,대해
639,이리하여
640,그리하여
641,여부
642,하기보다는
643,하느니
644,하면
645,할수록
646,운운
647,이러이러하다
648,하구나
649,하도다
650,다시말하면
651,다음으로
652,에
653,있다
654,에
655,달려
656,있다
657,우리
658,우리들
659,오히려
660,하기는한데
661,어떻게
662,어떻해
663,어찌됏어
664,어때
665,어째서
666,본대로
667,자
668,이
669,이쪽
670,여기
671,이것
672,이번
673,이렇게말하자면
674,이런
675,이러한
676,이와
677,같은
678,요만큼
679,요만한
680,것
681,얼마
682,안
683,되는
684,것
685,이만큼
686,이
687,정도의
688,이렇게
689,많은
690,것
691,이와
692,같다
693,이때
694,이렇구나
695,것과
696,같이
697,끼익
698,삐걱
699,따위
700,와
701,같은
702,사람들
703,부류의
704,사람들
705,왜냐하면
706,중의하나
707,오직
708,오로지
709,에
710,한하다
711,하기만
712,하면
713,도착하다
714,까지
715,미치다
716,도달하다
717,정도에
718,이르다
719,할
720,지경이다
721,결과에
722,이르다
723,관해서는
724,여러분
725,하고
726,있다
727,한
728,후
729,혼자
730,자기
731,자기집
732,자신
733,우에
734,종합한것과같이
735,총적으로
736,보면
737,총적으로
738,말하면
739,총적으로
740,대로
741,하다
742,으로서
743,참
744,그만이다
745,할
746,따름이다
747,쿵
748,탕탕
749,쾅쾅
750,둥둥
751,봐
752,봐라
753,아이야
754,아니
755,와아
756,응
757,아이
758,참나
759,년
760,월
761,일
762,령
763,영
764,일
765,이
766,삼
767,사
768,오
769,육
770,륙
771,칠
772,팔
773,구
774,이천육
775,이천칠
776,이천팔
777,이천구
778,하나
779,둘
780,셋
781,넷
782,다섯
783,여섯
784,일곱
785,여덟
786,아홉
787,령
788,영
